repository,file,rule_id,severity,cwe,message
NationalSecurityAgency/datawave,core/utils/metadata-utils/src/test/java/datawave/iterators/MetadataFColumnSeekingFilterTest.java,java/implicit-cast-in-compound-assignment,WARNING,CWE-190; CWE-192; CWE-197; CWE-681,Implicit cast of source type Long to narrower destination type [int](1).
NationalSecurityAgency/datawave,core/utils/type-utils/src/test/java/datawave/data/type/util/NumericalEncoderTest.java,java/implicit-cast-in-compound-assignment,WARNING,CWE-190; CWE-192; CWE-197; CWE-681,Implicit cast of source type double to narrower destination type [long](1).
NationalSecurityAgency/datawave,core/utils/type-utils/src/test/java/datawave/data/type/util/NumericalEncoderTest.java,java/implicit-cast-in-compound-assignment,WARNING,CWE-190; CWE-192; CWE-197; CWE-681,Implicit cast of source type double to narrower destination type [long](1).
NationalSecurityAgency/datawave,warehouse/accumulo-extensions/src/test/java/datawave/ingest/table/balancer/ShardedTableTabletBalancerTest.java,java/implicit-cast-in-compound-assignment,WARNING,CWE-190; CWE-192; CWE-197; CWE-681,Implicit cast of source type long to narrower destination type [int](1).
NationalSecurityAgency/datawave,warehouse/accumulo-extensions/src/test/java/datawave/ingest/table/balancer/ShardedTableTabletBalancerTest.java,java/implicit-cast-in-compound-assignment,WARNING,CWE-190; CWE-192; CWE-197; CWE-681,Implicit cast of source type long to narrower destination type [int](1).
NationalSecurityAgency/datawave,warehouse/query-core/src/main/java/datawave/mr/bulk/RangeRecordReader.java,java/implicit-cast-in-compound-assignment,WARNING,CWE-190; CWE-192; CWE-197; CWE-681,Implicit cast of source type long to narrower destination type [int](1).
NationalSecurityAgency/datawave,warehouse/query-core/src/test/java/datawave/query/tables/RangeStreamScannerTest.java,java/implicit-cast-in-compound-assignment,WARNING,CWE-190; CWE-192; CWE-197; CWE-681,Implicit cast of source type long to narrower destination type [int](1).
NationalSecurityAgency/datawave,warehouse/query-core/src/test/java/datawave/query/tables/RangeStreamScannerTest.java,java/implicit-cast-in-compound-assignment,WARNING,CWE-190; CWE-192; CWE-197; CWE-681,Implicit cast of source type long to narrower destination type [int](1).
NationalSecurityAgency/datawave,warehouse/query-core/src/test/java/datawave/query/tables/RangeStreamScannerTest.java,java/implicit-cast-in-compound-assignment,WARNING,CWE-190; CWE-192; CWE-197; CWE-681,Implicit cast of source type long to narrower destination type [int](1).
NationalSecurityAgency/datawave,warehouse/ssdeep-common/src/main/java/datawave/util/ssdeep/HashReverse.java,java/implicit-cast-in-compound-assignment,WARNING,CWE-190; CWE-192; CWE-197; CWE-681,Implicit cast of source type double to narrower destination type [int](1).
