repository,file,commits,avg_ccn,hotspot_score
elastic/elasticsearch,modules/lang-painless/src/main/java/org/elasticsearch/painless/AnalyzerCaster.java,42,42.55555555555556,1787.3333333333335
elastic/elasticsearch,test/framework/src/main/java/org/elasticsearch/search/RandomSearchRequestGenerator.java,54,30.333333333333332,1638.0
elastic/elasticsearch,server/src/main/java/org/elasticsearch/Version.java,450,2.9047619047619047,1307.142857142857
elastic/elasticsearch,x-pack/plugin/esql/src/main/java/org/elasticsearch/xpack/esql/analysis/Analyzer.java,266,4.827338129496403,1284.0719424460433
elastic/elasticsearch,x-pack/plugin/esql/src/main/java/org/elasticsearch/xpack/esql/action/EsqlCapabilities.java,807,1.4615384615384615,1179.4615384615383
elastic/elasticsearch,server/src/test/java/org/elasticsearch/index/engine/InternalEngineTests.java,330,3.330316742081448,1099.0045248868778
elastic/elasticsearch,server/src/main/java/org/elasticsearch/action/search/TransportSearchAction.java,226,4.758064516129032,1075.3225806451612
elastic/elasticsearch,server/src/main/java/org/elasticsearch/repositories/blobstore/BlobStoreRepository.java,392,2.728395061728395,1069.530864197531
spring-projects/spring-framework,spring-beans/src/main/java/org/springframework/beans/factory/support/DefaultListableBeanFactory.java,267,3.8435374149659864,1026.2244897959183
elastic/elasticsearch,server/src/main/java/org/elasticsearch/rest/action/cat/RestIndicesAction.java,56,17.444444444444443,976.8888888888888
elastic/elasticsearch,server/src/main/java/org/elasticsearch/snapshots/SnapshotsService.java,331,2.9217391304347826,967.0956521739131
elastic/elasticsearch,server/src/main/java/org/elasticsearch/snapshots/RestoreService.java,201,4.7272727272727275,950.1818181818182
elastic/elasticsearch,test/framework/src/main/java/org/elasticsearch/test/rest/ESRestTestCase.java,364,2.5566502463054186,930.6206896551723
elastic/elasticsearch,server/src/main/java/org/elasticsearch/index/shard/IndexShard.java,423,2.191919191919192,927.1818181818182
elastic/elasticsearch,server/src/main/java/org/elasticsearch/index/engine/InternalEngine.java,330,2.7672413793103448,913.1896551724137
elastic/elasticsearch,test/framework/src/main/java/org/elasticsearch/test/InternalTestCluster.java,351,2.5449101796407185,893.2634730538922
elastic/elasticsearch,test/framework/src/main/java/org/elasticsearch/test/ESIntegTestCase.java,396,2.1683168316831685,858.6534653465347
elastic/elasticsearch,x-pack/plugin/esql/src/main/java/org/elasticsearch/xpack/esql/plugin/ComputeService.java,195,4.315789473684211,841.578947368421
elastic/elasticsearch,x-pack/plugin/esql/src/main/java/org/elasticsearch/xpack/esql/planner/LocalExecutionPlanner.java,282,2.979591836734694,840.2448979591837
spring-projects/spring-framework,spring-beans/src/main/java/org/springframework/beans/factory/support/AbstractAutowireCapableBeanFactory.java,182,4.592105263157895,835.7631578947369
elastic/elasticsearch,server/src/test/java/org/elasticsearch/index/shard/IndexShardTests.java,336,2.467455621301775,829.0650887573964
elastic/elasticsearch,server/src/main/java/org/elasticsearch/rest/action/cat/RestNodesAction.java,47,17.0,799.0
elastic/elasticsearch,server/src/main/java/org/elasticsearch/node/Node.java,377,2.1052631578947367,793.6842105263157
elastic/elasticsearch,server/src/main/java/org/elasticsearch/search/SearchService.java,279,2.80327868852459,782.1147540983605
elastic/elasticsearch,server/src/test/java/org/elasticsearch/snapshots/SnapshotResiliencyTests.java,307,2.510204081632653,770.6326530612245
elastic/elasticsearch,server/src/main/java/org/elasticsearch/action/bulk/TransportBulkAction.java,184,4.125,759.0
elastic/elasticsearch,x-pack/plugin/esql/src/main/java/org/elasticsearch/xpack/esql/parser/LogicalPlanBuilder.java,225,3.3461538461538463,752.8846153846154
elastic/elasticsearch,server/src/main/java/org/elasticsearch/index/mapper/NumberFieldMapper.java,197,3.742574257425743,737.2871287128713
elastic/elasticsearch,server/src/main/java/org/elasticsearch/index/mapper/DocumentParser.java,218,3.3424657534246576,728.6575342465753
elastic/elasticsearch,server/src/main/java/org/elasticsearch/cluster/metadata/MetadataCreateIndexService.java,183,3.9047619047619047,714.5714285714286
spring-projects/spring-framework,spring-core/src/main/java/org/springframework/asm/ClassReader.java,39,17.5,682.5
elastic/elasticsearch,server/src/main/java/org/elasticsearch/index/mapper/KeywordFieldMapper.java,247,2.7254901960784315,673.1960784313726
elastic/elasticsearch,server/src/main/java/org/elasticsearch/cluster/metadata/MetadataIndexTemplateService.java,183,3.5903614457831323,657.0361445783133
elastic/elasticsearch,test/framework/src/main/java/org/elasticsearch/test/ESTestCase.java,421,1.5266903914590748,642.7366548042705
spring-projects/spring-framework,spring-beans/src/main/java/org/springframework/beans/factory/support/ConstructorResolver.java,100,6.4,640.0
elastic/elasticsearch,server/src/main/java/org/elasticsearch/common/time/DateFormatters.java,62,10.25,635.5
elastic/elasticsearch,server/src/main/java/org/elasticsearch/snapshots/SnapshotShardsService.java,126,4.92,619.92
elastic/elasticsearch,x-pack/plugin/esql/src/main/java/org/elasticsearch/xpack/esql/analysis/Verifier.java,130,4.655172413793103,605.1724137931034
NationalSecurityAgency/ghidra,Ghidra/Features/Base/src/main/java/ghidra/app/util/opinion/MachoProgramBuilder.java,85,7.065217391304348,600.5434782608695
