repository,files,blank,comment,code,java_files,java_code,java_comment,java_blank
NationalSecurityAgency/datawave,4302,124337,111512,565919,4302,565919,111512,124337
NationalSecurityAgency/datawave-audit-service,48,1905,922,7687,48,7687,922,1905
NationalSecurityAgency/datawave-authorization-service,51,728,563,3504,51,3504,563,728
NationalSecurityAgency/datawave-query-service,54,2781,2953,13967,54,13967,2953,2781
NationalSecurityAgency/emissary,676,15138,21649,67359,676,67359,21649,15138
NationalSecurityAgency/fractalrabbit,31,250,737,1104,31,1104,737,250
NationalSecurityAgency/ghidra,15589,419208,711336,2046208,15589,2046208,711336,419208
NationalSecurityAgency/lemongrenade,110,2162,2050,13943,110,13943,2050,2162
NationalSecurityAgency/rank-based-linkage,34,275,1353,1644,34,1644,1353,275
NationalSecurityAgency/timely,359,5305,1205,31086,359,31086,1205,5305
