repository,package_name,version,vuln_id,severity_score,severity_label,title
NationalSecurityAgency/datawave,net.sf.json-lib:json-lib,2.2.2,GHSA-wwcp-26wc-3fxm,0.0,LOW,
NationalSecurityAgency/datawave,org.apache.commons:commons-lang3,3.14.0,GHSA-j288-q9x7-2f5v,0.0,LOW,
NationalSecurityAgency/datawave,org.infinispan:infinispan-core,9.4.21.Final,GHSA-8674-26jc-wh98,0.0,LOW,
NationalSecurityAgency/datawave,org.infinispan:infinispan-core,9.4.21.Final,GHSA-gg57-587f-h5v6,0.0,LOW,
NationalSecurityAgency/datawave,org.xerial.snappy:snappy-java,1.1.7.2,GHSA-55g7-9cwv-5qfv,0.0,LOW,
NationalSecurityAgency/datawave,org.xerial.snappy:snappy-java,1.1.7.2,GHSA-fjpj-2g6w-x25r,0.0,LOW,
NationalSecurityAgency/datawave,org.xerial.snappy:snappy-java,1.1.7.2,GHSA-pqr6-cmr2-h8hf,0.0,LOW,
NationalSecurityAgency/datawave,org.xerial.snappy:snappy-java,1.1.7.2,GHSA-qcwq-55hx-v3vh,0.0,LOW,
NationalSecurityAgency/datawave,org.apache.commons:commons-vfs2,2.1,GHSA-3936-3gx6-49c4,0.0,LOW,
NationalSecurityAgency/datawave,org.apache.commons:commons-vfs2,2.1,GHSA-9q4x-fr4m-jp86,0.0,LOW,
NationalSecurityAgency/datawave,commons-lang:commons-lang,2.6,GHSA-j288-q9x7-2f5v,0.0,LOW,
NationalSecurityAgency/datawave,org.springframework:spring-core,5.3.5,GHSA-6gf2-pvqw-37ph,0.0,LOW,
NationalSecurityAgency/datawave,org.springframework:spring-core,5.3.5,GHSA-jmp9-x22r-554x,0.0,LOW,
NationalSecurityAgency/datawave,org.springframework:spring-core,5.3.5,GHSA-rfmp-97jj-h8m6,0.0,LOW,
NationalSecurityAgency/datawave,org.springframework:spring-webmvc,5.3.21,GHSA-4773-3jfm-qmx3,0.0,LOW,
NationalSecurityAgency/datawave,org.springframework:spring-webmvc,5.3.21,GHSA-6hcq-hmm3-jj3c,0.0,LOW,
NationalSecurityAgency/datawave,org.springframework:spring-webmvc,5.3.21,GHSA-6p4f-wcwh-5vvm,0.0,LOW,
NationalSecurityAgency/datawave,org.springframework:spring-webmvc,5.3.21,GHSA-7phw-cxx7-q9vq,0.0,LOW,
NationalSecurityAgency/datawave,org.springframework:spring-webmvc,5.3.21,GHSA-cx7f-g6mp-7hqm,0.0,LOW,
NationalSecurityAgency/datawave,org.springframework:spring-webmvc,5.3.21,GHSA-g5vr-rgqm-vf78,0.0,LOW,
NationalSecurityAgency/datawave,org.springframework:spring-webmvc,5.3.21,GHSA-r936-gwx5-v52f,0.0,LOW,
NationalSecurityAgency/datawave,org.springframework:spring-webmvc,5.3.21,GHSA-w3c8-7r8f-9jp8,0.0,LOW,
NationalSecurityAgency/datawave,org.springframework:spring-webmvc,5.3.21,GHSA-wg35-8jpf-2xv3,0.0,LOW,
NationalSecurityAgency/datawave,org.bouncycastle:bcpkix-jdk15on,1.67,GHSA-4cx2-fc23-5wg6,0.0,LOW,
NationalSecurityAgency/datawave,org.bouncycastle:bcpkix-jdk15on,1.67,GHSA-wg6q-6289-32hp,0.0,LOW,
NationalSecurityAgency/datawave,org.bouncycastle:bcprov-jdk15on,1.67,GHSA-4h8f-2wvx-gg5w,0.0,LOW,
NationalSecurityAgency/datawave,org.bouncycastle:bcprov-jdk15on,1.67,GHSA-8xfc-gm6g-vgpv,0.0,LOW,
NationalSecurityAgency/datawave,org.bouncycastle:bcprov-jdk15on,1.67,GHSA-hr8g-6v94-x4m9,0.0,LOW,
NationalSecurityAgency/datawave,org.bouncycastle:bcprov-jdk15on,1.67,GHSA-v435-xc8x-wvr9,0.0,LOW,
NationalSecurityAgency/datawave,org.bouncycastle:bcprov-jdk15on,1.67,GHSA-wjxj-5m7g-mg7q,0.0,LOW,
NationalSecurityAgency/lemongrenade,com.rabbitmq:amqp-client,4.8.3,GHSA-mm8h-8587-p46h,0.0,LOW,
NationalSecurityAgency/lemongrenade,commons-io:commons-io,2.6,GHSA-78wr-2p64-hpwj,0.0,LOW,
NationalSecurityAgency/lemongrenade,commons-io:commons-io,2.6,GHSA-gwrp-pvrq-jmwv,0.0,LOW,
NationalSecurityAgency/lemongrenade,junit:junit,4.12,GHSA-269g-pwp5-87pp,0.0,LOW,
NationalSecurityAgency/lemongrenade,org.apache.httpcomponents:httpclient,4.5.6,GHSA-7r82-7xv7-xcpj,0.0,LOW,
NationalSecurityAgency/lemongrenade,org.apache.storm:storm-core,1.2.2,GHSA-r9pv-hg64-jqrp,0.0,LOW,
NationalSecurityAgency/lemongrenade,org.apache.zookeeper:zookeeper,3.5.5,GHSA-7286-pgfv-vxvh,0.0,LOW,
NationalSecurityAgency/lemongrenade,org.json:json,20180813,GHSA-3vqj-43w4-2q58,0.0,LOW,
NationalSecurityAgency/lemongrenade,org.json:json,20180813,GHSA-4jq9-2xhw-jpx7,0.0,LOW,
NationalSecurityAgency/timely,commons-beanutils:commons-beanutils,1.9.4,GHSA-wxr5-93ph-8wr9,0.0,LOW,
