repository,number,state,created_at,closed_at,merged_at,hours_to_close,commits,author
iluwatar/java-design-patterns,3495,merged,2026-05-31T15:17:52Z,2026-05-31T15:18:10Z,2026-05-31T15:18:10Z,0.01,2,allcontributors[bot]
iluwatar/java-design-patterns,3494,merged,2026-05-31T15:03:33Z,2026-05-31T15:03:44Z,2026-05-31T15:03:44Z,0.0,2,allcontributors[bot]
iluwatar/java-design-patterns,3493,merged,2026-05-31T14:55:26Z,2026-05-31T14:55:39Z,2026-05-31T14:55:39Z,0.0,2,allcontributors[bot]
iluwatar/java-design-patterns,3492,merged,2026-05-31T14:28:41Z,2026-05-31T14:28:53Z,2026-05-31T14:28:53Z,0.0,2,allcontributors[bot]
iluwatar/java-design-patterns,3491,merged,2026-05-31T14:28:07Z,2026-05-31T14:28:18Z,2026-05-31T14:28:18Z,0.0,2,allcontributors[bot]
iluwatar/java-design-patterns,3490,merged,2026-05-31T14:27:15Z,2026-05-31T14:27:29Z,2026-05-31T14:27:29Z,0.0,2,allcontributors[bot]
iluwatar/java-design-patterns,3489,merged,2026-05-31T14:26:29Z,2026-05-31T14:26:42Z,2026-05-31T14:26:42Z,0.0,2,allcontributors[bot]
iluwatar/java-design-patterns,3488,merged,2026-05-31T14:24:56Z,2026-05-31T14:25:58Z,2026-05-31T14:25:58Z,0.02,2,allcontributors[bot]
iluwatar/java-design-patterns,3487,closed,2026-05-31T05:26:30Z,2026-05-31T05:51:27Z,,0.42,1,iseppala
iluwatar/java-design-patterns,3486,merged,2026-05-31T04:57:07Z,2026-05-31T05:03:33Z,2026-05-31T05:03:33Z,0.11,1,iluwatar
iluwatar/java-design-patterns,3485,open,2026-05-27T06:52:18Z,,,,4,prashantpiyush1111
iluwatar/java-design-patterns,3483,closed,2026-05-24T15:22:19Z,2026-05-24T15:22:56Z,,0.01,5,subchat
iluwatar/java-design-patterns,3482,closed,2026-05-24T15:03:28Z,2026-05-24T15:22:12Z,,0.31,4,subchat
iluwatar/java-design-patterns,3481,closed,2026-05-24T14:43:16Z,2026-05-24T15:02:57Z,,0.33,3,subchat
iluwatar/java-design-patterns,3480,closed,2026-05-24T14:30:06Z,2026-05-24T14:34:24Z,,0.07,2,subchat
iluwatar/java-design-patterns,3477,open,2026-05-08T14:26:45Z,,,,1,dependabot[bot]
iluwatar/java-design-patterns,3476,open,2026-05-08T13:57:14Z,,,,1,dependabot[bot]
iluwatar/java-design-patterns,3475,open,2026-05-08T13:06:52Z,,,,1,dependabot[bot]
iluwatar/java-design-patterns,3474,open,2026-05-08T12:46:55Z,,,,1,dependabot[bot]
iluwatar/java-design-patterns,3473,open,2026-05-08T11:08:47Z,,,,1,dependabot[bot]
iluwatar/java-design-patterns,3472,open,2026-05-08T11:00:54Z,,,,1,dependabot[bot]
iluwatar/java-design-patterns,3471,open,2026-05-06T08:03:08Z,,,,4,orbisai0security
iluwatar/java-design-patterns,3470,open,2026-05-01T19:33:16Z,,,,1,ZachT01
iluwatar/java-design-patterns,3469,open,2026-05-01T00:35:04Z,,,,1,Leandroeiro
iluwatar/java-design-patterns,3468,open,2026-04-21T15:55:58Z,,,,4,rranjangupta
iluwatar/java-design-patterns,3467,open,2026-04-17T03:48:15Z,,,,2,yashvinjasani
iluwatar/java-design-patterns,3466,open,2026-04-14T18:37:01Z,,,,103,Sagar-S-R
iluwatar/java-design-patterns,3465,open,2026-04-13T13:46:13Z,,,,1,samruddhipatil11
iluwatar/java-design-patterns,3464,closed,2026-04-12T12:28:38Z,2026-04-12T12:29:52Z,,0.02,1,codlibsio
iluwatar/java-design-patterns,3463,open,2026-04-07T07:22:35Z,,,,4,dadhich-ashish
iluwatar/java-design-patterns,3461,open,2026-04-06T06:20:33Z,,,,1,orbisai0security
iluwatar/java-design-patterns,3457,open,2026-03-28T15:51:07Z,,,,1,dagecko
iluwatar/java-design-patterns,3455,closed,2026-03-26T16:05:36Z,2026-03-26T21:22:15Z,,5.28,1,dagecko
iluwatar/java-design-patterns,3454,open,2026-03-26T08:14:52Z,,,,3,Senrian
iluwatar/java-design-patterns,3453,open,2026-03-24T07:11:48Z,,,,3,MADHURI-HS
iluwatar/java-design-patterns,3452,open,2026-03-24T07:01:29Z,,,,2,MADHURI-HS
iluwatar/java-design-patterns,3451,open,2026-03-24T06:13:39Z,,,,1,MADHURI-HS
iluwatar/java-design-patterns,3450,closed,2026-03-20T21:23:33Z,2026-05-08T12:46:59Z,,1167.39,1,dependabot[bot]
iluwatar/java-design-patterns,3449,open,2026-03-20T10:37:49Z,,,,2,Senrian
iluwatar/java-design-patterns,3446,open,2026-03-07T13:23:23Z,,,,4,Kaaldut8
iluwatar/java-design-patterns,3445,closed,2026-03-06T14:45:08Z,2026-03-06T16:14:26Z,,1.49,4,Kaaldut8
iluwatar/java-design-patterns,3444,open,2026-03-04T20:25:30Z,,,,39,sieberss
iluwatar/java-design-patterns,3443,closed,2026-03-03T12:40:28Z,2026-03-03T12:52:14Z,,0.2,12,pankaj8blr
iluwatar/java-design-patterns,3442,open,2026-03-01T21:28:10Z,,,,1,dependabot[bot]
iluwatar/java-design-patterns,3440,merged,2026-02-22T18:17:21Z,2026-02-22T18:17:34Z,2026-02-22T18:17:34Z,0.0,2,allcontributors[bot]
iluwatar/java-design-patterns,3439,open,2026-02-22T18:16:05Z,,,,1,dependabot[bot]
iluwatar/java-design-patterns,3438,open,2026-02-22T18:16:01Z,,,,1,dependabot[bot]
iluwatar/java-design-patterns,3437,merged,2026-02-22T18:15:36Z,2026-02-22T18:15:55Z,2026-02-22T18:15:55Z,0.01,2,allcontributors[bot]
