repository,file,commits,distinct_authors,lines_added,lines_removed,churn,file_age_days,days_since_change
NationalSecurityAgency/datawave-audit-service,service\src\main\java\datawave\microservice\audit\AuditService.java,6,3,41,8,49,1804,1082
NationalSecurityAgency/datawave-audit-service,service\src\main\java\datawave\microservice\audit\accumulo\AccumuloAuditor.java,3,2,64,2,66,445,2440
NationalSecurityAgency/datawave-audit-service,service\src\main\java\datawave\microservice\audit\accumulo\config\AccumuloAuditConfig.java,3,2,90,2,92,445,2440
NationalSecurityAgency/datawave-audit-service,service\src\main\java\datawave\microservice\audit\accumulo\config\AccumuloAuditProperties.java,2,1,68,0,68,445,2440
NationalSecurityAgency/datawave-audit-service,service\src\main\java\datawave\microservice\audit\common\AuditMessageHandler.java,4,2,44,6,50,445,2440
NationalSecurityAgency/datawave-audit-service,service\src\main\java\datawave\microservice\audit\config\AuditServiceConfig.java,5,3,93,71,164,1804,1082
NationalSecurityAgency/datawave-audit-service,service\src\main\java\datawave\microservice\audit\controller\AuditController.java,5,3,227,35,262,445,2440
NationalSecurityAgency/datawave-audit-service,service\src\main\java\datawave\microservice\audit\log\LogAuditor.java,2,2,22,3,25,445,2440
NationalSecurityAgency/datawave-audit-service,service\src\main\java\datawave\microservice\audit\log\config\LogAuditConfig.java,3,2,54,2,56,445,2440
NationalSecurityAgency/datawave-audit-service,service\src\test\java\datawave\microservice\audit\AuditServiceTest.java,15,5,958,236,1194,1804,1082
NationalSecurityAgency/datawave-audit-service,service\src\test\java\datawave\microservice\audit\accumulo\AccumuloAuditConfigDisabledTest.java,1,1,39,0,39,0,2886
NationalSecurityAgency/datawave-audit-service,service\src\test\java\datawave\microservice\audit\accumulo\AccumuloAuditConfigMissingTest.java,1,1,39,0,39,0,2886
NationalSecurityAgency/datawave-audit-service,service\src\test\java\datawave\microservice\audit\accumulo\AccumuloAuditorTest.java,3,1,193,19,212,445,2440
NationalSecurityAgency/datawave-audit-service,service\src\test\java\datawave\microservice\audit\common\AuditMessageHandlerTest.java,3,1,59,3,62,516,2370
NationalSecurityAgency/datawave-audit-service,service\src\test\java\datawave\microservice\audit\log\LogAuditConfigDisabledTest.java,1,1,38,0,38,0,2886
NationalSecurityAgency/datawave-audit-service,service\src\test\java\datawave\microservice\audit\log\LogAuditConfigMissingTest.java,1,1,38,0,38,0,2886
