repository,file,secret_type,line_number,detected_by
NationalSecurityAgency/datawave,microservices/services/query-metric/service/src/test/resources/ssl/rootCA.p12,pkcs12-file,0,gitleaks
NationalSecurityAgency/datawave,repos/NationalSecurityAgency__datawave/warehouse/query-core/src/test/java/datawave/query/jexl/nodes/ExceededOrThresholdMarkerJexlNodeTest.java,Hex High Entropy String,151,detect-secrets
NationalSecurityAgency/datawave,repos/NationalSecurityAgency__datawave/warehouse/ingest-json/src/test/resources/input/my.json,Hex High Entropy String,8,detect-secrets
NationalSecurityAgency/datawave,repos/NationalSecurityAgency__datawave/warehouse/ingest-json/src/test/resources/input/my.json,Hex High Entropy String,74,detect-secrets
NationalSecurityAgency/datawave,repos/NationalSecurityAgency__datawave/microservices/microservice-service-parent/.gitrepo,Hex High Entropy String,9,detect-secrets
NationalSecurityAgency/datawave,repos/NationalSecurityAgency__datawave/.github/workflows/build-accumulo.yml,Secret Keyword,68,detect-secrets
NationalSecurityAgency/datawave,repos/NationalSecurityAgency__datawave/properties/compose.properties,Secret Keyword,108,detect-secrets
NationalSecurityAgency/datawave,repos/NationalSecurityAgency__datawave/core/utils/accumulo-utils/.gitrepo,Hex High Entropy String,10,detect-secrets
NationalSecurityAgency/datawave,repos/NationalSecurityAgency__datawave/microservices/services/audit/service/src/test/resources/config/application.yml,Secret Keyword,82,detect-secrets
NationalSecurityAgency/datawave,repos/NationalSecurityAgency__datawave/core/utils/type-utils/src/test/java/datawave/data/normalizer/GeometryNormalizerTest.java,Hex High Entropy String,73,detect-secrets
NationalSecurityAgency/datawave,repos/NationalSecurityAgency__datawave/core/metrics-reporter/.gitrepo,Hex High Entropy String,10,detect-secrets
NationalSecurityAgency/datawave,repos/NationalSecurityAgency__datawave/microservices/services/query-metric/.gitrepo,Hex High Entropy String,10,detect-secrets
NationalSecurityAgency/datawave,repos/NationalSecurityAgency__datawave/contrib/datawave-utils/.gitrepo,Hex High Entropy String,9,detect-secrets
NationalSecurityAgency/datawave,repos/NationalSecurityAgency__datawave/properties/compose.properties,Secret Keyword,68,detect-secrets
NationalSecurityAgency/datawave,repos/NationalSecurityAgency__datawave/core/utils/metadata-utils/.gitrepo,Hex High Entropy String,9,detect-secrets
NationalSecurityAgency/datawave,repos/NationalSecurityAgency__datawave/microservices/services/audit/.gitrepo,Hex High Entropy String,10,detect-secrets
