repository,files_with_secrets,total_secrets,by_gitleaks,by_detect_secrets,by_both,types
NationalSecurityAgency/datawave,128,199,21,178,0,secretkeyword:85; hexhighentropystring:85; pkcs12file:19; base64highentropystring:6; privatekey:4
NationalSecurityAgency/datawave-audit-service,3,5,2,3,0,secretkeyword:3; pkcs12file:2
NationalSecurityAgency/datawave-authorization-service,6,8,3,5,0,secretkeyword:5; pkcs12file:3
NationalSecurityAgency/datawave-query-service,1,2,0,2,0,secretkeyword:2
NationalSecurityAgency/emissary,23,32,0,32,0,secretkeyword:21; hexhighentropystring:11
NationalSecurityAgency/fractalrabbit,0,0,0,0,0,
NationalSecurityAgency/ghidra,60,288,10,278,0,hexhighentropystring:167; base64highentropystring:92; secretkeyword:16; privatekey:4; genericapikey:4; squareaccesstoken:2; curlauthuser:2; basicauthcredentials:1
NationalSecurityAgency/lemongrenade,1,1,0,1,0,secretkeyword:1
NationalSecurityAgency/rank-based-linkage,0,0,0,0,0,
NationalSecurityAgency/timely,24,28,12,16,0,privatekey:12; secretkeyword:10; pkcs12file:6
