repository,file,n_semgrep,n_codeql,has_security_risk,sonar_ncloc,sonar_lines,sonar_functions,sonar_classes,sonar_statements,sonar_complexity,sonar_cognitive_complexity,sonar_duplicated_lines,sonar_duplicated_lines_density,sonar_duplicated_blocks,sonar_comment_lines,sonar_comment_lines_density,sonar_code_smells,sonar_sqale_index,sonar_sqale_debt_ratio,sonar_violations,sonar_blocker_violations,sonar_critical_violations,sonar_major_violations,sonar_minor_violations,wmc,dit,noc,cbo,rfc,lcom,lcom_star,num_methods,num_static_methods,num_fields,num_static_fields,tcc,lcc,num_classes,commits,distinct_authors,lines_added,lines_removed,churn,file_age_days,days_since_change
NationalSecurityAgency/datawave,warehouse/query-core/src/main/java/datawave/query/common/grouping/AbstractAggregator.java,0,0,0,24.0,47.0,7.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,4.0,14.3,1.0,10.0,1.4,1.0,0.0,0.0,0.0,1.0,7.0,1.0,0.0,5.0,0.0,19.0,0.0,7.0,0.0,1.0,0.0,0.04761905,0.04761905,1.0,1.0,1.0,46.0,0.0,46.0,0.0,944.0
NationalSecurityAgency/datawave,warehouse/query-core/src/test/java/datawave/query/testframework/cardata/AbstractCarFields.java,0,0,0,114.0,144.0,23.0,1.0,28.0,23.0,0.0,88.0,61.1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,1.0,1.0,3.0,9.0,175.0,0.0,23.0,0.0,8.0,1.0,0.1541502,0.68774706,1.0,4.0,4.0,169.0,26.0,195.0,2011.0,808.0
NationalSecurityAgency/datawave,warehouse/ingest-core/src/main/java/datawave/ingest/mapreduce/job/writer/AbstractChainedContextWriter.java,0,0,0,57.0,82.0,8.0,1.0,17.0,8.0,3.0,0.0,0.0,0.0,3.0,5.0,2.0,20.0,1.2,2.0,0.0,0.0,0.0,2.0,11.0,2.0,0.0,11.0,16.0,0.0,0.0,8.0,0.0,1.0,0.0,0.53571427,0.53571427,1.0,5.0,4.0,100.0,19.0,119.0,2624.0,431.0
NationalSecurityAgency/datawave,warehouse/query-core/src/test/java/datawave/query/testframework/AbstractCityFields.java,0,0,0,100.0,145.0,20.0,1.0,25.0,20.0,0.0,99.0,68.3,2.0,14.0,12.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,1.0,0.0,3.0,9.0,118.0,0.0,20.0,0.0,7.0,1.0,0.18947369,0.9,1.0,3.0,3.0,169.0,25.0,194.0,1777.0,1085.0
NationalSecurityAgency/datawave,warehouse/ingest-core/src/main/java/datawave/ingest/mapreduce/handler/shard/AbstractColumnBasedHandler.java,0,0,0,119.0,167.0,11.0,1.0,54.0,32.0,43.0,0.0,0.0,0.0,16.0,11.9,5.0,39.0,1.1,5.0,0.0,2.0,2.0,1.0,32.0,3.0,0.0,13.0,40.0,3.0,0.0,11.0,0.0,7.0,3.0,0.47272727,1.0,1.0,9.0,7.0,201.0,35.0,236.0,2366.0,689.0
NationalSecurityAgency/datawave,warehouse/ingest-core/src/main/java/datawave/ingest/data/config/ingest/AbstractContentIngestHelper.java,0,0,0,19.0,100.0,9.0,1.0,3.0,4.0,3.0,0.0,0.0,0.0,40.0,67.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,1.0,2.0,5.0,36.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0,148.0,24.0,172.0,1958.0,1097.0
NationalSecurityAgency/datawave,warehouse/ingest-core/src/main/java/datawave/ingest/mapreduce/job/writer/AbstractContextWriter.java,0,0,0,103.0,183.0,7.0,1.0,47.0,23.0,21.0,0.0,0.0,0.0,38.0,27.0,2.0,20.0,0.6,2.0,0.0,0.0,0.0,2.0,24.0,2.0,0.0,13.0,29.0,0.0,0.0,7.0,0.0,8.0,2.0,0.61904764,0.71428573,1.0,6.0,4.0,207.0,25.0,232.0,1970.0,1085.0
NationalSecurityAgency/datawave,warehouse/query-core/src/test/java/datawave/query/testframework/AbstractDataManager.java,0,0,0,119.0,176.0,10.0,1.0,59.0,22.0,32.0,0.0,0.0,0.0,16.0,11.9,3.0,30.0,0.8,3.0,0.0,1.0,1.0,0.0,24.0,1.0,8.0,9.0,32.0,31.0,0.0,10.0,0.0,7.0,1.0,0.15555556,0.46666667,1.0,8.0,6.0,303.0,128.0,431.0,1777.0,1085.0
NationalSecurityAgency/datawave,warehouse/query-core/src/test/java/datawave/query/testframework/AbstractDataTypeConfig.java,0,1,1,178.0,284.0,14.0,1.0,83.0,22.0,6.0,0.0,0.0,0.0,51.0,22.3,4.0,34.0,0.6,6.0,0.0,2.0,4.0,0.0,22.0,1.0,7.0,19.0,52.0,63.0,0.0,14.0,5.0,11.0,7.0,0.13636364,0.3181818,1.0,12.0,10.0,365.0,82.0,447.0,2493.0,369.0
NationalSecurityAgency/datawave,microservices/starters/datawave/src/main/java/datawave/microservice/http/converter/html/AbstractDatawaveHttpMessageConverter.java,0,0,0,60.0,79.0,9.0,1.0,10.0,7.0,2.0,0.0,0.0,0.0,2.0,3.2,2.0,4.0,0.2,2.0,0.0,0.0,1.0,1.0,11.0,2.0,0.0,10.0,13.0,34.0,0.0,9.0,0.0,2.0,0.0,0.027777778,0.027777778,1.0,2.0,2.0,89.0,11.0,100.0,71.0,405.0
NationalSecurityAgency/datawave,warehouse/query-core/src/main/java/datawave/query/language/functions/jexl/AbstractEvaluationPhaseFunction.java,0,0,0,78.0,94.0,4.0,1.0,40.0,17.0,24.0,22.0,23.4,2.0,3.0,3.7,3.0,8.0,0.3,3.0,0.0,0.0,2.0,1.0,18.0,2.0,5.0,4.0,14.0,6.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,6.0,4.0,199.0,21.0,220.0,1602.0,1085.0
NationalSecurityAgency/datawave,warehouse/query-core/src/main/java/datawave/query/language/functions/lucene/AbstractEvaluationPhaseFunction.java,0,0,0,72.0,87.0,4.0,1.0,33.0,14.0,17.0,30.0,34.5,4.0,3.0,4.0,3.0,17.0,0.8,3.0,0.0,0.0,2.0,0.0,15.0,2.0,3.0,4.0,10.0,4.0,0.0,4.0,0.0,1.0,0.0,0.16666667,0.16666667,1.0,6.0,5.0,190.0,20.0,210.0,2207.0,480.0
NationalSecurityAgency/datawave,warehouse/ingest-core/src/main/java/datawave/ingest/input/reader/AbstractEventRecordReader.java,0,0,0,222.0,307.0,16.0,1.0,104.0,48.0,60.0,0.0,0.0,0.0,22.0,9.0,11.0,153.0,2.3,11.0,0.0,2.0,3.0,5.0,53.0,2.0,0.0,23.0,70.0,52.0,0.0,16.0,0.0,16.0,2.0,0.28333333,0.65,1.0,16.0,11.0,388.0,81.0,469.0,2792.0,263.0
NationalSecurityAgency/datawave,warehouse/query-core/src/test/java/datawave/query/testframework/AbstractFields.java,0,0,0,113.0,161.0,23.0,1.0,28.0,23.0,0.0,116.0,72.0,3.0,14.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,1.0,10.0,3.0,9.0,175.0,0.0,23.0,0.0,8.0,1.0,0.1541502,0.68774706,1.0,4.0,4.0,185.0,25.0,210.0,2019.0,808.0
NationalSecurityAgency/datawave,warehouse/ingest-core/src/test/java/datawave/util/flag/AbstractFlagConfig.java,0,0,0,141.0,165.0,11.0,1.0,81.0,31.0,32.0,0.0,0.0,0.0,5.0,3.4,3.0,35.0,0.8,5.0,0.0,0.0,2.0,2.0,31.0,1.0,3.0,10.0,44.0,49.0,0.0,11.0,0.0,2.0,1.0,0.083333336,0.083333336,1.0,6.0,4.0,185.0,21.0,206.0,2235.0,317.0
NationalSecurityAgency/datawave,warehouse/query-core/src/test/java/datawave/query/testframework/AbstractFunctionalQuery.java,0,0,0,498.0,803.0,38.0,3.0,261.0,67.0,42.0,39.0,4.9,3.0,154.0,23.6,16.0,130.0,0.9,17.0,0.0,8.0,6.0,2.0,72.0,1.0,14.0,56.0,151.0,393.0,0.0,40.0,0.0,17.0,5.0,0.1657754,0.37433156,4.0,47.0,19.0,1142.0,320.0,1462.0,2773.0,89.0
NationalSecurityAgency/datawave,core/utils/type-utils/src/main/java/datawave/data/type/util/AbstractGeometry.java,0,0,0,28.0,42.0,5.0,1.0,8.0,6.0,1.0,0.0,0.0,0.0,3.0,9.7,1.0,2.0,0.2,1.0,0.0,0.0,1.0,0.0,6.0,1.0,0.0,2.0,3.0,0.0,0.0,5.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,2.0,46.0,5.0,51.0,71.0,405.0
NationalSecurityAgency/datawave,core/utils/type-utils/src/main/java/datawave/data/normalizer/AbstractGeometryNormalizer.java,0,0,0,172.0,240.0,27.0,1.0,78.0,48.0,32.0,0.0,0.0,0.0,20.0,10.4,7.0,18.0,0.3,7.0,0.0,0.0,2.0,5.0,57.0,1.0,0.0,11.0,43.0,351.0,0.0,27.0,2.0,4.0,4.0,0.0,0.0,1.0,2.0,2.0,272.0,33.0,305.0,71.0,405.0
NationalSecurityAgency/datawave,core/utils/type-utils/src/main/java/datawave/data/type/AbstractGeometryType.java,0,0,0,70.0,99.0,6.0,1.0,31.0,14.0,13.0,0.0,0.0,0.0,5.0,6.7,1.0,2.0,0.1,1.0,0.0,0.0,1.0,0.0,13.0,2.0,0.0,10.0,22.0,15.0,0.0,6.0,0.0,4.0,4.0,0.0,0.0,1.0,3.0,2.0,115.0,17.0,132.0,79.0,397.0
NationalSecurityAgency/datawave,web-services/client/src/main/java/datawave/webservice/util/AbstractHtmlProviderMessageBodyWriter.java,0,0,0,55.0,86.0,7.0,1.0,24.0,3.0,0.0,0.0,0.0,0.0,7.0,11.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,8.0,9.0,21.0,0.0,7.0,0.0,1.0,1.0,0.0,0.0,1.0,6.0,5.0,112.0,27.0,139.0,2731.0,156.0
NationalSecurityAgency/datawave,warehouse/query-core/src/test/java/datawave/query/index/day/AbstractIndexIngest.java,0,0,0,7.0,35.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,68.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,34.0,0.0,34.0,0.0,231.0
NationalSecurityAgency/datawave,warehouse/ingest-core/src/main/java/datawave/ingest/table/aggregator/util/AbstractIndexKeyParser.java,0,0,0,108.0,183.0,13.0,1.0,51.0,37.0,23.0,167.0,91.3,1.0,32.0,22.9,6.0,23.0,0.7,6.0,0.0,0.0,1.0,4.0,41.0,1.0,3.0,4.0,14.0,0.0,0.0,13.0,0.0,10.0,0.0,0.8030303,1.0,1.0,2.0,2.0,182.0,0.0,182.0,234.0,6.0
NationalSecurityAgency/datawave,core/tables/src/main/java/datawave/table/key/parser/AbstractIndexKeyParser.java,0,0,0,107.0,182.0,13.0,1.0,51.0,37.0,23.0,167.0,91.8,1.0,32.0,23.0,4.0,8.0,0.2,4.0,0.0,0.0,0.0,4.0,41.0,1.0,3.0,4.0,14.0,0.0,0.0,13.0,0.0,10.0,0.0,0.8030303,1.0,1.0,1.0,1.0,181.0,0.0,181.0,0.0,6.0
NationalSecurityAgency/datawave,warehouse/ingest-core/src/main/java/datawave/ingest/data/config/ingest/AbstractIngestHelper.java,0,0,0,119.0,178.0,18.0,1.0,49.0,27.0,13.0,0.0,0.0,0.0,18.0,13.1,2.0,20.0,0.6,2.0,2.0,0.0,0.0,0.0,29.0,2.0,1.0,9.0,22.0,113.0,0.0,18.0,0.0,8.0,1.0,0.13071896,0.1633987,1.0,9.0,7.0,231.0,54.0,285.0,2693.0,362.0
NationalSecurityAgency/datawave,warehouse/query-core/src/main/java/datawave/query/iterator/builder/AbstractIteratorBuilder.java,0,0,0,109.0,170.0,26.0,1.0,30.0,29.0,6.0,0.0,0.0,0.0,10.0,8.4,5.0,27.0,0.8,5.0,0.0,0.0,2.0,2.0,30.0,1.0,4.0,8.0,8.0,279.0,0.0,26.0,0.0,12.0,0.0,0.04307692,0.055384614,1.0,16.0,10.0,245.0,57.0,302.0,2660.0,395.0
NationalSecurityAgency/datawave,warehouse/ingest-core/src/main/java/datawave/ingest/util/AbstractNGramTokenizationStrategy.java,0,0,0,96.0,216.0,15.0,2.0,39.0,23.0,12.0,0.0,0.0,0.0,54.0,36.0,8.0,41.0,1.4,8.0,0.0,0.0,7.0,1.0,23.0,3.0,6.0,5.0,9.0,8.0,0.0,15.0,0.0,6.0,2.0,0.2,0.2,2.0,6.0,5.0,258.0,43.0,301.0,2693.0,362.0
NationalSecurityAgency/datawave,warehouse/query-core/src/main/java/datawave/query/jexl/nodes/AbstractNodeCostComparator.java,0,0,0,70.0,109.0,6.0,1.0,30.0,17.0,11.0,0.0,0.0,0.0,11.0,13.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,2.0,2.0,11.0,15.0,9.0,0.0,6.0,0.0,4.0,2.0,0.3,0.3,1.0,1.0,1.0,108.0,0.0,108.0,0.0,601.0
