repository,file,rule_id,severity,cwe,message
NationalSecurityAgency/datawave,.github/actions/free-space/action.yml,yaml.github-actions.security.run-shell-injection.run-shell-injection,ERROR,CWE-78: Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection'),"Using variable interpolation `${{...}}` with `github` context data in a `run:` step could allow an attacker to inject their own code into the runner. This would allow them to steal secrets and code. `github` context data can have arbitrary user input and should be treated as untrusted. Instead, use an intermediate environment variable with `env:` to store the data and use the environment variable in the `run:` script. Be sure to use double-quotes the environment variable, like this: ""$ENVVAR""."
NationalSecurityAgency/datawave,.github/release/cascade-plan.py,python.lang.security.use-defused-xml-parse.use-defused-xml-parse,ERROR,CWE-611: Improper Restriction of XML External Entity Reference,"The native Python `xml` library is vulnerable to XML External Entity (XXE) attacks.  These attacks can leak confidential data and ""XML bombs"" can cause denial of service. Do not use this library to parse untrusted input. Instead  the Python documentation recommends using `defusedxml`."
NationalSecurityAgency/datawave,.github/workflows/microservice-cascade-release.yml,yaml.github-actions.security.run-shell-injection.run-shell-injection,ERROR,CWE-78: Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection'),"Using variable interpolation `${{...}}` with `github` context data in a `run:` step could allow an attacker to inject their own code into the runner. This would allow them to steal secrets and code. `github` context data can have arbitrary user input and should be treated as untrusted. Instead, use an intermediate environment variable with `env:` to store the data and use the environment variable in the `run:` script. Be sure to use double-quotes the environment variable, like this: ""$ENVVAR""."
NationalSecurityAgency/datawave,.github/workflows/microservice-cascade-release.yml,yaml.github-actions.security.run-shell-injection.run-shell-injection,ERROR,CWE-78: Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection'),"Using variable interpolation `${{...}}` with `github` context data in a `run:` step could allow an attacker to inject their own code into the runner. This would allow them to steal secrets and code. `github` context data can have arbitrary user input and should be treated as untrusted. Instead, use an intermediate environment variable with `env:` to store the data and use the environment variable in the `run:` script. Be sure to use double-quotes the environment variable, like this: ""$ENVVAR""."
NationalSecurityAgency/datawave,.github/workflows/microservice-release.yml,yaml.github-actions.security.run-shell-injection.run-shell-injection,ERROR,CWE-78: Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection'),"Using variable interpolation `${{...}}` with `github` context data in a `run:` step could allow an attacker to inject their own code into the runner. This would allow them to steal secrets and code. `github` context data can have arbitrary user input and should be treated as untrusted. Instead, use an intermediate environment variable with `env:` to store the data and use the environment variable in the `run:` script. Be sure to use double-quotes the environment variable, like this: ""$ENVVAR""."
NationalSecurityAgency/datawave,.github/workflows/microservice-release.yml,yaml.github-actions.security.run-shell-injection.run-shell-injection,ERROR,CWE-78: Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection'),"Using variable interpolation `${{...}}` with `github` context data in a `run:` step could allow an attacker to inject their own code into the runner. This would allow them to steal secrets and code. `github` context data can have arbitrary user input and should be treated as untrusted. Instead, use an intermediate environment variable with `env:` to store the data and use the environment variable in the `run:` script. Be sure to use double-quotes the environment variable, like this: ""$ENVVAR""."
NationalSecurityAgency/datawave,.github/workflows/microservice-release.yml,yaml.github-actions.security.run-shell-injection.run-shell-injection,ERROR,CWE-78: Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection'),"Using variable interpolation `${{...}}` with `github` context data in a `run:` step could allow an attacker to inject their own code into the runner. This would allow them to steal secrets and code. `github` context data can have arbitrary user input and should be treated as untrusted. Instead, use an intermediate environment variable with `env:` to store the data and use the environment variable in the `run:` script. Be sure to use double-quotes the environment variable, like this: ""$ENVVAR""."
NationalSecurityAgency/datawave,.github/workflows/microservice-release.yml,yaml.github-actions.security.run-shell-injection.run-shell-injection,ERROR,CWE-78: Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection'),"Using variable interpolation `${{...}}` with `github` context data in a `run:` step could allow an attacker to inject their own code into the runner. This would allow them to steal secrets and code. `github` context data can have arbitrary user input and should be treated as untrusted. Instead, use an intermediate environment variable with `env:` to store the data and use the environment variable in the `run:` script. Be sure to use double-quotes the environment variable, like this: ""$ENVVAR""."
NationalSecurityAgency/datawave,.github/workflows/required-checks.yml,yaml.github-actions.security.run-shell-injection.run-shell-injection,ERROR,CWE-78: Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection'),"Using variable interpolation `${{...}}` with `github` context data in a `run:` step could allow an attacker to inject their own code into the runner. This would allow them to steal secrets and code. `github` context data can have arbitrary user input and should be treated as untrusted. Instead, use an intermediate environment variable with `env:` to store the data and use the environment variable in the `run:` script. Be sure to use double-quotes the environment variable, like this: ""$ENVVAR""."
NationalSecurityAgency/datawave,contrib/datawave-quickstart/bin/services/datawave/bootstrap-user.sh,bash.lang.security.ifs-tampering.ifs-tampering,WARNING,CWE-20: Improper Input Validation,"The special variable IFS affects how splitting takes place when expanding unquoted variables. Don't set it globally. Prefer a dedicated utility such as 'cut' or 'awk' if you need to split input data. If you must use 'read', set IFS locally using e.g. 'IFS="","" read -a my_array'."
NationalSecurityAgency/datawave,contrib/datawave-quickstart/bin/services/datawave/bootstrap-user.sh,bash.lang.security.ifs-tampering.ifs-tampering,WARNING,CWE-20: Improper Input Validation,"The special variable IFS affects how splitting takes place when expanding unquoted variables. Don't set it globally. Prefer a dedicated utility such as 'cut' or 'awk' if you need to split input data. If you must use 'read', set IFS locally using e.g. 'IFS="","" read -a my_array'."
NationalSecurityAgency/datawave,contrib/datawave-quickstart/bin/services/datawave/bootstrap-user.sh,bash.lang.security.ifs-tampering.ifs-tampering,WARNING,CWE-20: Improper Input Validation,"The special variable IFS affects how splitting takes place when expanding unquoted variables. Don't set it globally. Prefer a dedicated utility such as 'cut' or 'awk' if you need to split input data. If you must use 'read', set IFS locally using e.g. 'IFS="","" read -a my_array'."
NationalSecurityAgency/datawave,contrib/datawave-quickstart/bin/services/datawave/bootstrap-user.sh,bash.lang.security.ifs-tampering.ifs-tampering,WARNING,CWE-20: Improper Input Validation,"The special variable IFS affects how splitting takes place when expanding unquoted variables. Don't set it globally. Prefer a dedicated utility such as 'cut' or 'awk' if you need to split input data. If you must use 'read', set IFS locally using e.g. 'IFS="","" read -a my_array'."
NationalSecurityAgency/datawave,contrib/datawave-quickstart/bin/services/datawave/ingest-examples/ingest-tv-shows.sh,bash.lang.security.ifs-tampering.ifs-tampering,WARNING,CWE-20: Improper Input Validation,"The special variable IFS affects how splitting takes place when expanding unquoted variables. Don't set it globally. Prefer a dedicated utility such as 'cut' or 'awk' if you need to split input data. If you must use 'read', set IFS locally using e.g. 'IFS="","" read -a my_array'."
NationalSecurityAgency/datawave,contrib/datawave-quickstart/bin/services/datawave/ingest-examples/ingest-tv-shows.sh,bash.lang.security.ifs-tampering.ifs-tampering,WARNING,CWE-20: Improper Input Validation,"The special variable IFS affects how splitting takes place when expanding unquoted variables. Don't set it globally. Prefer a dedicated utility such as 'cut' or 'awk' if you need to split input data. If you must use 'read', set IFS locally using e.g. 'IFS="","" read -a my_array'."
NationalSecurityAgency/datawave,contrib/datawave-quickstart/bin/services/datawave/install-ingest.sh,bash.lang.security.ifs-tampering.ifs-tampering,WARNING,CWE-20: Improper Input Validation,"The special variable IFS affects how splitting takes place when expanding unquoted variables. Don't set it globally. Prefer a dedicated utility such as 'cut' or 'awk' if you need to split input data. If you must use 'read', set IFS locally using e.g. 'IFS="","" read -a my_array'."
NationalSecurityAgency/datawave,contrib/datawave-quickstart/bin/services/datawave/install-ingest.sh,bash.lang.security.ifs-tampering.ifs-tampering,WARNING,CWE-20: Improper Input Validation,"The special variable IFS affects how splitting takes place when expanding unquoted variables. Don't set it globally. Prefer a dedicated utility such as 'cut' or 'awk' if you need to split input data. If you must use 'read', set IFS locally using e.g. 'IFS="","" read -a my_array'."
