repository,file,ncloc,lines,functions,classes,statements,complexity,cognitive_complexity,duplicated_lines,duplicated_lines_density,duplicated_blocks,comment_lines,comment_lines_density,code_smells,sqale_index,sqale_debt_ratio,violations,blocker_violations,critical_violations,major_violations,minor_violations
NationalSecurityAgency/datawave,warehouse/query-core/src/main/java/datawave/query/common/grouping/AbstractAggregator.java,24,47,7,1,2,2,,,,,4,14.3,1,10,1.4,1,,,,1
NationalSecurityAgency/datawave,warehouse/query-core/src/test/java/datawave/query/testframework/cardata/AbstractCarFields.java,114,144,23,1,28,23,,88,61.1,2,0,0.0,,,,,,,,
NationalSecurityAgency/datawave,warehouse/ingest-core/src/main/java/datawave/ingest/mapreduce/job/writer/AbstractChainedContextWriter.java,57,82,8,1,17,8,3,,,,3,5.0,2,20,1.2,2,,,,2
NationalSecurityAgency/datawave,warehouse/query-core/src/test/java/datawave/query/testframework/AbstractCityFields.java,100,145,20,1,25,20,,99,68.3,2,14,12.3,,,,,,,,
NationalSecurityAgency/datawave,warehouse/ingest-core/src/main/java/datawave/ingest/mapreduce/handler/shard/AbstractColumnBasedHandler.java,119,167,11,1,54,32,43,,,,16,11.9,5,39,1.1,5,,2,2,1
NationalSecurityAgency/datawave,warehouse/ingest-core/src/main/java/datawave/ingest/data/config/ingest/AbstractContentIngestHelper.java,19,100,9,1,3,4,3,,,,40,67.8,,,,,,,,
NationalSecurityAgency/datawave,warehouse/ingest-core/src/main/java/datawave/ingest/mapreduce/job/writer/AbstractContextWriter.java,103,183,7,1,47,23,21,,,,38,27.0,2,20,0.6,2,,,,2
NationalSecurityAgency/datawave,warehouse/query-core/src/test/java/datawave/query/testframework/AbstractDataManager.java,119,176,10,1,59,22,32,,,,16,11.9,3,30,0.8,3,,1,1,
NationalSecurityAgency/datawave,warehouse/query-core/src/test/java/datawave/query/testframework/AbstractDataTypeConfig.java,178,284,14,1,83,22,6,,,,51,22.3,4,34,0.6,6,,2,4,
NationalSecurityAgency/datawave,microservices/starters/datawave/src/main/java/datawave/microservice/http/converter/html/AbstractDatawaveHttpMessageConverter.java,60,79,9,1,10,7,2,,,,2,3.2,2,4,0.2,2,,,1,1
NationalSecurityAgency/datawave,warehouse/query-core/src/main/java/datawave/query/language/functions/jexl/AbstractEvaluationPhaseFunction.java,78,94,4,1,40,17,24,22,23.4,2,3,3.7,3,8,0.3,3,,,2,1
NationalSecurityAgency/datawave,warehouse/query-core/src/main/java/datawave/query/language/functions/lucene/AbstractEvaluationPhaseFunction.java,72,87,4,1,33,14,17,30,34.5,4,3,4.0,3,17,0.8,3,,,2,
NationalSecurityAgency/datawave,warehouse/ingest-core/src/main/java/datawave/ingest/input/reader/AbstractEventRecordReader.java,222,307,16,1,104,48,60,,,,22,9.0,11,153,2.3,11,,2,3,5
NationalSecurityAgency/datawave,warehouse/query-core/src/test/java/datawave/query/testframework/AbstractFields.java,113,161,23,1,28,23,,116,72.0,3,14,11.0,,,,,,,,
NationalSecurityAgency/datawave,warehouse/ingest-core/src/test/java/datawave/util/flag/AbstractFlagConfig.java,141,165,11,1,81,31,32,,,,5,3.4,3,35,0.8,5,,,2,2
NationalSecurityAgency/datawave,warehouse/query-core/src/test/java/datawave/query/testframework/AbstractFunctionalQuery.java,498,803,38,3,261,67,42,39,4.9,3,154,23.6,16,130,0.9,17,,8,6,2
NationalSecurityAgency/datawave,core/utils/type-utils/src/main/java/datawave/data/type/util/AbstractGeometry.java,28,42,5,1,8,6,1,,,,3,9.7,1,2,0.2,1,,,1,
