CWE,achados,sub_característica_25010
CWE-470,118,Integridade
CWE-319,104,Confidencialidade
CWE-89,97,Integridade
CWE-78,43,Integridade
CWE-269,19,Outras/Não classificada
CWE-20,18,Outras/Não classificada
CWE-95,17,Outras/Não classificada
CWE-353,17,Outras/Não classificada
CWE-502,15,Integridade
CWE-1333,9,Outras/Não classificada
CWE-295,7,Autenticidade
CWE-798,4,Autenticidade
CWE-732,4,Outras/Não classificada
CWE-611,3,Integridade
CWE-1004,3,Confidencialidade
CWE-614,3,Confidencialidade
CWE-352,3,Outras/Não classificada
CWE-328,3,Confidencialidade
CWE-326,3,Confidencialidade
CWE-96,2,Outras/Não classificada
CWE-330,2,Outras/Não classificada
CWE-667,2,Outras/Não classificada
CWE-704,1,Outras/Não classificada
CWE-327,1,Confidencialidade
