repositório,arquivos_java,KLOC_java,achados_seg,achados_por_KLOC,arquivos_em_risco,pct_risco,CVEs_diretos,CVSS_médio,segredos
ghidra,15589,2046.2,275,0.13,253,1.09,0,0.0,288
datawave,4302,565.9,173,0.31,221,3.74,30,0.0,199
timely,359,31.1,20,0.64,19,2.42,1,0.0,28
emissary,676,67.4,12,0.18,45,5.57,0,0.0,32
lemongrenade,110,13.9,5,0.36,3,1.79,9,0.0,1
datawave-query-service,54,14.0,5,0.36,6,8.82,0,0.0,2
rank-based-linkage,34,1.6,3,1.82,1,0.53,0,0.0,0
fractalrabbit,31,1.1,3,2.72,2,1.19,0,0.0,0
datawave-audit-service,48,7.7,1,0.13,4,5.88,0,0.0,5
datawave-authorization-service,51,3.5,1,0.29,6,8.45,0,0.0,8
