model,precision,recall,f1,roc_auc,tp,fp,fn,tn
LogisticRegression,0.05545112781954887,0.233201581027668,0.08959757023538345,0.6673074792301137,59,1005,194,21897
LogisticRegression,0.08163265306122448,0.8144796380090498,0.1483924154987634,0.8150074391167028,180,2025,41,3869
LogisticRegression,0.1125,0.8,0.19726027397260273,0.8127426160337554,36,284,9,506
LogisticRegression,0.08045977011494253,0.7368421052631579,0.14507772020725387,0.8652302202703629,14,160,5,607
LogisticRegression,0.11475409836065574,0.6363636363636364,0.19444444444444445,0.7629824336453392,14,108,8,601
DecisionTree,0.060941828254847646,0.08695652173913043,0.07166123778501629,0.6521005639081523,22,339,231,22563
DecisionTree,0.14,0.5701357466063348,0.2247992863514719,0.7682419578465408,126,774,95,5120
DecisionTree,0.1415929203539823,0.35555555555555557,0.20253164556962025,0.749817158931083,16,97,29,693
DecisionTree,0.07272727272727272,0.21052631578947367,0.10810810810810811,0.6914156316475674,4,51,15,716
DecisionTree,0.07692307692307693,0.8181818181818182,0.140625,0.7318245928965251,18,216,4,493
RandomForest,0.29411764705882354,0.019762845849802372,0.037037037037037035,0.86661114568588,5,12,248,22890
RandomForest,0.2152777777777778,0.28054298642533937,0.24361493123772102,0.8429620889101119,62,226,159,5668
RandomForest,0.4166666666666667,0.1111111111111111,0.17543859649122806,0.8533755274261603,5,7,40,783
RandomForest,0.5,0.05263157894736842,0.09523809523809523,0.8763466684965346,1,1,18,766
RandomForest,0.5,0.36363636363636365,0.42105263157894735,0.857609949993589,8,8,14,701
XGBoost,0.23076923076923078,0.023715415019762844,0.043010752688172046,0.8176547399246765,6,20,247,22882
XGBoost,0.3313253012048193,0.248868778280543,0.2842377260981912,0.8418846069397976,55,111,166,5783
XGBoost,0.5,0.044444444444444446,0.08163265306122448,0.8277074542897328,2,2,43,788
XGBoost,0.0,0.0,0.0,0.8370959994510396,0,2,19,765
XGBoost,0.5333333333333333,0.36363636363636365,0.43243243243243246,0.776349531991281,8,7,14,702
LightGBM,0.17307692307692307,0.03557312252964427,0.05901639344262295,0.841032231163338,9,43,244,22859
LightGBM,0.33540372670807456,0.24434389140271492,0.28272251308900526,0.846169968078589,54,107,167,5787
LightGBM,0.4,0.044444444444444446,0.08,0.8524050632911393,2,3,43,787
LightGBM,0.5,0.05263157894736842,0.09523809523809523,0.876209428394977,1,1,18,766
LightGBM,0.29411764705882354,0.22727272727272727,0.2564102564102564,0.7710283369662778,5,12,17,697
